year,variable,raw_column,rows,missing_pct,answers
2014,high_cholesterol,not asked,464664,100.0,
2014,diabetes,DIABETE3,464664,0.2,No: 84.3%; Yes: 13.2%; Borderline: 1.7%; Pregnancy only: 0.9%
2014,smoked_100,SMOKE100,464664,4.5,No: 56.0%; Yes: 44.0%
2014,heavy_drinker,_RFDRHV4,464664,6.4,No: 94.6%; Yes: 5.4%
2014,exercise,EXERANY2,464664,0.4,Yes: 75.6%; No: 24.4%
2014,bmi,_BMI5,464664,6.6,"median 26.9, min 12.0, max 99.6"
2014,sleep_hours,SLEPTIM1,464664,1.4,"median 7.0, min 1.0, max 24.0"
2014,age_group,_AGEG5YR,464664,1.2,60-64: 11.5%; 65-69: 11.0%; 55-59: 10.8%; 50-54: 9.5%; 70-74: 8.8%; 80 or older: 8.5%; 45-49: 7.1%; 75-79: 6.4%; 40-44: 6.2%; 35-39: 5.5%; 18-24: 5.3%; 30-34: 5.2%; 25-29: 4.3%
2014,sex,SEX,464664,0.0,Female: 58.5%; Male: 41.5%
2014,race,_IMPRACE,464664,0.0,White: 78.3%; Hispanic: 7.7%; Black: 7.6%; Other: 2.8%; Asian: 2.0%; American Indian/Alaska Native: 1.5%
2014,gen_health,GENHLTH,464664,0.4,Very good: 32.8%; Good: 30.8%; Excellent: 17.7%; Fair: 13.4%; Poor: 5.4%
2014,phys_days,PHYSHLTH,464664,2.2,"median 0.0, min 0.0, max 30.0"
2014,ment_days,MENTHLTH,464664,1.7,"median 0.0, min 0.0, max 30.0"
2014,diff_walking,DIFFWALK,464664,4.1,No: 82.2%; Yes: 17.8%
2014,asthma,ASTHMA3,464664,0.3,No: 86.7%; Yes: 13.3%
2014,kidney_disease,CHCKIDNY,464664,0.4,No: 96.5%; Yes: 3.5%
2014,copd,CHCCOPD1,464664,0.5,No: 91.7%; Yes: 8.3%
2014,depression,ADDEPEV2,464664,0.5,No: 80.9%; Yes: 19.1%
2014,arthritis,HAVARTH3,464664,0.5,No: 65.0%; Yes: 35.0%
2014,income,INCOME2,464664,15.4,75k+: 29.8%; 50-75k: 15.8%; 35-50k: 14.6%; 25-35k: 11.3%; 20-25k: 9.5%; 15-20k: 7.8%; 10-15k: 5.8%; <10k: 5.4%
2014,education,EDUCA,464664,0.8,College graduate: 36.2%; High school: 28.5%; Some college: 27.3%; Less than high school: 8.0%
2014,last_checkup,CHECKUP1,464664,1.4,Within 1 year: 74.3%; 1-2 years: 11.7%; 2-5 years: 6.7%; 5+ years: 6.4%; Never: 0.9%
2014,cost_barrier,MEDCOST,464664,0.3,No: 89.4%; Yes: 10.6%
2014,heart_disease,derived,464664,0.9,No: 90.7%; Yes: 9.3%
2015,state,_STATE,441456,0.0,
2015,weight,_LLCPWT,441456,0.0,
2015,heart_attack,CVDINFR4,441456,0.5,No: 94.2%; Yes: 5.8%
2015,coronary_heart_disease,CVDCRHD4,441456,0.9,No: 94.2%; Yes: 5.8%
2015,stroke,CVDSTRK3,441456,0.3,No: 95.8%; Yes: 4.2%
2015,high_blood_pressure,BPHIGH4,441456,0.3,No: 57.8%; Yes: 40.5%; Borderline: 1.0%; Pregnancy only: 0.7%
2015,high_cholesterol,TOLDHI2,441456,3.0,No: 51.1%; Yes: 37.3%; Never checked: 11.6%
2015,diabetes,DIABETE3,441456,0.2,No: 84.4%; Yes: 13.0%; Borderline: 1.7%; Pregnancy only: 0.8%
2015,smoked_100,SMOKE100,441456,4.0,No: 56.5%; Yes: 43.5%
2015,heavy_drinker,_RFDRHV5,441456,5.8,No: 94.7%; Yes: 5.3%
2015,exercise,EXERANY2,441456,8.6,Yes: 73.4%; No: 26.6%
2015,bmi,_BMI5,441456,8.2,"median 26.9, min 12.0, max 100.0"
2015,sleep_hours,not asked,441456,100.0,
2015,age_group,_AGEG5YR,441456,1.2,60-64: 11.4%; 65-69: 11.3%; 55-59: 10.6%; 50-54: 9.1%; 70-74: 8.8%; 80 or older: 8.4%; 45-49: 6.9%; 75-79: 6.5%; 40-44: 5.9%; 35-39: 5.6%; 18-24: 5.5%; 30-34: 5.3%; 25-29: 4.5%
2015,sex,SEX,441456,0.0,Female: 57.7%; Male: 42.3%
2015,race,_RACE,441456,1.7,White: 77.4%; Hispanic: 8.2%; Black: 7.9%; Other: 2.7%; Asian: 2.2%; American Indian/Alaska Native: 1.5%
2015,gen_health,GENHLTH,441456,0.3,Very good: 33.0%; Good: 31.1%; Excellent: 17.3%; Fair: 13.4%; Poor: 5.3%
2015,phys_days,PHYSHLTH,441456,2.2,"median 0.0, min 0.0, max 30.0"
2015,ment_days,MENTHLTH,441456,1.7,"median 0.0, min 0.0, max 30.0"
2015,diff_walking,DIFFWALK,441456,3.3,No: 82.5%; Yes: 17.5%
2015,asthma,ASTHMA3,441456,0.3,No: 86.5%; Yes: 13.5%
2015,kidney_disease,CHCKIDNY,441456,0.4,No: 96.4%; Yes: 3.6%
2015,copd,CHCCOPD1,441456,0.5,No: 91.9%; Yes: 8.1%
2015,depression,ADDEPEV2,441456,0.5,No: 80.9%; Yes: 19.1%
2015,arthritis,HAVARTH3,441456,0.6,No: 66.3%; Yes: 33.7%
2015,income,INCOME2,441456,18.0,75k+: 31.9%; 50-75k: 16.1%; 35-50k: 14.4%; 25-35k: 10.8%; 20-25k: 8.9%; 15-20k: 7.4%; 10-15k: 5.4%; <10k: 5.1%
2015,education,EDUCA,441456,0.4,College graduate: 36.8%; High school: 28.0%; Some college: 27.4%; Less than high school: 7.8%
2015,last_checkup,CHECKUP1,441456,1.4,Within 1 year: 74.8%; 1-2 years: 11.6%; 2-5 years: 6.6%; 5+ years: 6.2%; Never: 0.9%
2015,cost_barrier,MEDCOST,441456,0.3,No: 90.1%; Yes: 9.9%
2015,heart_disease,derived,441456,0.9,No: 91.2%; Yes: 8.8%
2016,state,_STATE,486303,0.0,
2016,weight,_LLCPWT,486303,0.0,
2016,heart_attack,CVDINFR4,486303,0.5,No: 93.9%; Yes: 6.1%
2016,coronary_heart_disease,CVDCRHD4,486303,0.8,No: 93.8%; Yes: 6.2%
2016,stroke,CVDSTRK3,486303,0.3,No: 95.7%; Yes: 4.3%
2016,high_blood_pressure,not asked,486303,100.0,
2016,high_cholesterol,not asked,486303,100.0,
2016,diabetes,DIABETE3,486303,0.2,No: 83.8%; Yes: 13.6%; Borderline: 1.8%; Pregnancy only: 0.8%
2016,smoked_100,SMOKE100,486303,4.0,No: 56.3%; Yes: 43.7%
2016,heavy_drinker,_RFDRHV5,486303,6.0,No: 94.1%; Yes: 5.9%
2016,exercise,EXERANY2,486303,0.2,Yes: 74.5%; No: 25.5%
2016,bmi,_BMI5,486303,8.1,"median 27.1, min 12.0, max 99.6"
2016,sleep_hours,SLEPTIM1,486303,1.2,"median 7.0, min 1.0, max 24.0"
2016,age_group,_AGEG5YR,486303,1.4,65-69: 11.6%; 60-64: 11.4%; 55-59: 10.4%; 70-74: 9.1%; 50-54: 8.7%; 80 or older: 8.3%; 45-49: 6.9%; 75-79: 6.6%; 40-44: 5.7%; 35-39: 5.7%; 18-24: 5.6%; 30-34: 5.3%; 25-29: 4.8%
2016,sex,SEX,486303,0.0,Female: 56.7%; Male: 43.3%
2016,race,_RACE,486303,1.8,White: 77.1%; Black: 8.3%; Hispanic: 8.2%; Other: 2.7%; Asian: 2.2%; American Indian/Alaska Native: 1.5%
2016,gen_health,GENHLTH,486303,0.3,Very good: 32.6%; Good: 31.3%; Excellent: 17.1%; Fair: 13.7%; Poor: 5.4%
2016,phys_days,PHYSHLTH,486303,2.1,"median 0.0, min 0.0, max 30.0"
2016,ment_days,MENTHLTH,486303,1.6,"median 0.0, min 0.0, max 30.0"
2016,diff_walking,DIFFWALK,486303,3.4,No: 82.6%; Yes: 17.4%
2016,asthma,ASTHMA3,486303,0.3,No: 86.5%; Yes: 13.5%
2016,kidney_disease,CHCKIDNY,486303,0.3,No: 96.2%; Yes: 3.8%
2016,copd,CHCCOPD1,486303,0.5,No: 91.6%; Yes: 8.4%
2016,depression,ADDEPEV2,486303,0.4,No: 82.4%; Yes: 17.6%
2016,arthritis,HAVARTH3,486303,0.5,No: 64.9%; Yes: 35.1%
2016,income,INCOME2,486303,16.7,75k+: 31.4%; 50-75k: 16.0%; 35-50k: 14.4%; 25-35k: 10.9%; 20-25k: 9.4%; 15-20k: 7.6%; 10-15k: 5.4%; <10k: 4.9%
2016,education,EDUCA,486303,0.4,College graduate: 36.5%; High school: 28.2%; Some college: 27.5%; Less than high school: 7.8%
2016,last_checkup,CHECKUP1,486303,1.3,Within 1 year: 76.0%; 1-2 years: 11.1%; 2-5 years: 6.1%; 5+ years: 6.0%; Never: 0.8%
2016,cost_barrier,MEDCOST,486303,0.3,No: 89.8%; Yes: 10.2%
2016,heart_disease,derived,486303,0.8,No: 90.6%; Yes: 9.4%
2017,state,_STATE,450016,0.0,
2017,weight,_LLCPWT,450016,0.0,
2017,heart_attack,CVDINFR4,450016,0.5,No: 94.2%; Yes: 5.8%
2017,coronary_heart_disease,CVDCRHD4,450016,0.9,No: 94.3%; Yes: 5.7%
2017,stroke,CVDSTRK3,450016,0.3,No: 95.8%; Yes: 4.2%
2017,high_blood_pressure,BPHIGH4,450016,0.3,No: 58.0%; Yes: 40.4%; Borderline: 0.9%; Pregnancy only: 0.7%
2017,high_cholesterol,TOLDHI2,450016,1.2,No: 58.3%; Yes: 35.7%; Never checked: 6.0%
2017,diabetes,DIABETE3,450016,0.2,No: 84.0%; Yes: 13.5%; Borderline: 1.8%; Pregnancy only: 0.7%
2017,smoked_100,SMOKE100,450016,4.1,No: 57.0%; Yes: 43.0%
2017,heavy_drinker,_RFDRHV5,450016,6.7,No: 94.2%; Yes: 5.8%
2017,exercise,EXERANY2,450016,7.6,Yes: 72.4%; No: 27.6%
2017,bmi,_BMI5,450016,8.1,"median 27.2, min 12.0, max 99.3"
2017,sleep_hours,SLEPTIM1,450016,89.0,"median 7.0, min 1.0, max 24.0"
2017,age_group,_AGEG5YR,450016,1.4,65-69: 11.3%; 60-64: 11.3%; 55-59: 10.2%; 70-74: 9.3%; 50-54: 8.4%; 80 or older: 8.1%; 45-49: 6.8%; 75-79: 6.6%; 35-39: 5.9%; 18-24: 5.9%; 40-44: 5.7%; 30-34: 5.6%; 25-29: 5.0%
2017,sex,SEX,450016,0.1,Female: 55.8%; Male: 44.2%
2017,race,_IMPRACE,450016,0.0,White: 76.6%; Hispanic: 8.3%; Black: 8.0%; Other: 3.0%; Asian: 2.2%; American Indian/Alaska Native: 1.9%
2017,gen_health,GENHLTH,450016,0.3,Very good: 32.4%; Good: 31.7%; Excellent: 16.6%; Fair: 13.9%; Poor: 5.4%
2017,phys_days,PHYSHLTH,450016,2.1,"median 0.0, min 0.0, max 30.0"
2017,ment_days,MENTHLTH,450016,1.6,"median 0.0, min 0.0, max 30.0"
2017,diff_walking,DIFFWALK,450016,3.5,No: 82.4%; Yes: 17.6%
2017,asthma,ASTHMA3,450016,0.3,No: 86.1%; Yes: 13.9%
2017,kidney_disease,CHCKIDNY,450016,0.4,No: 96.1%; Yes: 3.9%
2017,copd,CHCCOPD1,450016,0.5,No: 91.6%; Yes: 8.4%
2017,depression,ADDEPEV2,450016,0.5,No: 80.1%; Yes: 19.9%
2017,arthritis,HAVARTH3,450016,0.6,No: 67.1%; Yes: 32.9%
2017,income,INCOME2,450016,16.7,75k+: 32.7%; 50-75k: 15.9%; 35-50k: 14.2%; 25-35k: 10.6%; 20-25k: 9.1%; 15-20k: 7.4%; 10-15k: 5.2%; <10k: 4.9%
2017,education,EDUCA,450016,0.4,College graduate: 37.6%; Some college: 27.8%; High school: 27.3%; Less than high school: 7.3%
2017,last_checkup,CHECKUP1,450016,1.3,Within 1 year: 74.7%; 1-2 years: 11.4%; 2-5 years: 6.7%; 5+ years: 6.3%; Never: 0.9%
2017,cost_barrier,MEDCOST,450016,0.3,No: 89.4%; Yes: 10.6%
2017,heart_disease,derived,450016,0.9,No: 91.2%; Yes: 8.8%
2018,state,_STATE,437436,0.0,
2018,weight,_LLCPWT,437436,0.0,
2018,heart_attack,CVDINFR4,437436,0.5,No: 93.9%; Yes: 6.1%
2018,coronary_heart_disease,CVDCRHD4,437436,0.8,No: 94.0%; Yes: 6.0%
2018,stroke,CVDSTRK3,437436,0.3,No: 95.6%; Yes: 4.4%
2018,high_blood_pressure,not asked,437436,100.0,
2018,high_cholesterol,not asked,437436,100.0,
2018,diabetes,DIABETE3,437436,0.2,No: 83.3%; Yes: 13.9%; Borderline: 1.9%; Pregnancy only: 0.9%
2018,smoked_100,SMOKE100,437436,3.8,No: 57.1%; Yes: 42.9%
2018,heavy_drinker,_RFDRHV6,437436,6.2,No: 93.9%; Yes: 6.1%
2018,exercise,EXERANY2,437436,0.2,Yes: 74.8%; No: 25.2%
2018,bmi,_BMI5,437436,8.1,"median 27.3, min 12.1, max 98.7"
2018,sleep_hours,SLEPTIM1,437436,1.2,"median 7.0, min 1.0, max 24.0"
2018,age_group,_AGEG5YR,437436,1.9,65-69: 11.0%; 60-64: 11.0%; 55-59: 9.8%; 70-74: 9.5%; 50-54: 8.2%; 80 or older: 8.1%; 45-49: 6.7%; 75-79: 6.7%; 35-39: 6.1%; 18-24: 6.1%; 40-44: 6.0%; 30-34: 5.7%; 25-29: 5.2%
2018,sex,SEX1,437436,0.3,Female: 54.8%; Male: 45.2%
